Starting Point,Ending Point,Angle,Line Thickness,Line Color (BGR)
"(1, 757)","(757, 1)",-45.0,1,"[143, 143, 143]"
"(40, 798)","(798, 40)",-45.0,1,"[112, 112, 112]"
"(200, 798)","(798, 200)",-45.0,1,"[112, 112, 112]"
"(1, 797)","(797, 1)",-45.0,1,"[143, 143, 143]"
"(3, 681)","(683, 1)",-45.0,1,"[112, 112, 112]"
"(3, 761)","(763, 1)",-45.0,1,"[112, 112, 112]"
"(166, 798)","(798, 166)",-45.0,1,"[143, 143, 143]"
"(1, 717)","(717, 1)",-45.0,1,"[143, 143, 143]"
"(46, 798)","(798, 46)",-45.0,1,"[143, 143, 143]"
"(120, 798)","(798, 120)",-45.0,1,"[112, 112, 112]"
"(6, 798)","(798, 6)",-45.0,1,"[143, 143, 143]"
"(160, 798)","(798, 160)",-45.0,1,"[112, 112, 112]"
"(406, 798)","(798, 406)",-45.0,1,"[143, 143, 143]"
"(126, 798)","(798, 126)",-45.0,1,"[143, 143, 143]"
"(3, 441)","(443, 1)",-45.0,1,"[112, 112, 112]"
"(3, 721)","(723, 1)",-45.0,1,"[112, 112, 112]"
"(1, 677)","(677, 1)",-45.0,1,"[143, 143, 143]"
"(1, 557)","(557, 1)",-45.0,1,"[143, 143, 143]"
"(80, 798)","(798, 80)",-45.0,1,"[112, 112, 112]"
"(1, 597)","(597, 1)",-45.0,1,"[143, 143, 143]"
"(246, 798)","(798, 246)",-45.0,1,"[143, 143, 143]"
"(86, 798)","(798, 86)",-45.0,1,"[143, 143, 143]"
"(3, 641)","(643, 1)",-45.0,1,"[112, 112, 112]"
"(240, 798)","(798, 240)",-45.0,1,"[112, 112, 112]"
"(366, 798)","(798, 366)",-45.0,1,"[143, 143, 143]"
"(3, 521)","(523, 1)",-45.0,1,"[112, 112, 112]"
"(1, 637)","(637, 1)",-45.0,1,"[143, 143, 143]"
"(286, 798)","(798, 286)",-45.0,1,"[143, 143, 143]"
"(206, 798)","(798, 206)",-45.0,1,"[143, 143, 143]"
"(3, 561)","(563, 1)",-45.0,1,"[112, 112, 112]"
"(1, 517)","(517, 1)",-45.0,1,"[143, 143, 143]"
"(3, 401)","(403, 1)",-45.0,1,"[112, 112, 112]"
"(280, 798)","(798, 280)",-45.0,1,"[112, 112, 112]"
"(3, 601)","(603, 1)",-45.0,1,"[112, 112, 112]"
"(486, 798)","(798, 486)",-45.0,1,"[143, 143, 143]"
"(440, 798)","(798, 440)",-45.0,1,"[112, 112, 112]"
"(1, 477)","(477, 1)",-45.0,1,"[143, 143, 143]"
"(360, 798)","(798, 360)",-45.0,1,"[112, 112, 112]"
"(446, 798)","(798, 446)",-45.0,1,"[143, 143, 143]"
"(3, 361)","(363, 1)",-45.0,1,"[112, 112, 112]"
"(326, 798)","(798, 326)",-45.0,1,"[143, 143, 143]"
"(320, 798)","(798, 320)",-45.0,1,"[112, 112, 112]"
"(3, 321)","(323, 1)",-45.0,1,"[112, 112, 112]"
"(3, 481)","(483, 1)",-45.0,1,"[112, 112, 112]"
"(400, 798)","(798, 400)",-45.0,1,"[112, 112, 112]"
"(1, 397)","(397, 1)",-45.0,1,"[143, 143, 143]"
"(1, 437)","(437, 1)",-45.0,1,"[143, 143, 143]"
"(526, 798)","(798, 526)",-45.0,1,"[143, 143, 143]"
"(1, 237)","(237, 1)",-45.0,1,"[143, 143, 143]"
"(3, 281)","(283, 1)",-45.0,1,"[112, 112, 112]"
"(480, 798)","(798, 480)",-45.0,1,"[112, 112, 112]"
"(1, 317)","(317, 1)",-45.0,1,"[143, 143, 143]"
"(1, 357)","(357, 1)",-45.0,1,"[143, 143, 143]"
"(520, 798)","(798, 520)",-45.0,1,"[112, 112, 112]"
"(606, 798)","(798, 606)",-45.0,1,"[143, 143, 143]"
"(1, 277)","(277, 1)",-45.0,1,"[143, 143, 143]"
"(566, 798)","(798, 566)",-45.0,1,"[143, 143, 143]"
"(1, 117)","(117, 1)",-45.0,1,"[143, 143, 143]"
"(560, 798)","(798, 560)",-45.0,1,"[112, 112, 112]"
"(1, 197)","(197, 1)",-45.0,1,"[143, 143, 143]"
"(3, 241)","(243, 1)",-45.0,1,"[112, 112, 112]"
"(3, 201)","(203, 1)",-45.0,1,"[112, 112, 112]"
"(640, 798)","(798, 640)",-45.0,1,"[112, 112, 112]"
"(600, 798)","(798, 600)",-45.0,1,"[112, 112, 112]"
"(646, 798)","(798, 646)",-45.0,1,"[143, 143, 143]"
"(1, 157)","(157, 1)",-45.0,1,"[143, 143, 143]"
"(3, 161)","(163, 1)",-45.0,1,"[112, 112, 112]"
"(3, 121)","(123, 1)",-45.0,1,"[112, 112, 112]"
"(680, 798)","(798, 680)",-45.0,1,"[112, 112, 112]"
"(726, 798)","(798, 726)",-45.0,1,"[143, 143, 143]"
"(686, 798)","(798, 686)",-45.0,1,"[143, 143, 143]"
"(3, 81)","(83, 1)",-45.0,1,"[112, 112, 112]"
"(1, 77)","(77, 1)",-45.0,1,"[143, 143, 143]"
"(720, 798)","(798, 720)",-45.0,1,"[112, 112, 112]"
"(760, 798)","(798, 760)",-45.0,1,"[112, 112, 112]"
"(3, 41)","(43, 1)",-45.0,1,"[112, 112, 112]"
"(1, 37)","(37, 1)",-45.0,1,"[143, 143, 143]"
"(717, 0)","(717, 0)",0.0,1,"[191, 191, 191]"
"(243, 0)","(243, 0)",0.0,1,"[64, 64, 64]"
"(0, 80)","(0, 80)",0.0,1,"[191, 191, 191]"
"(766, 798)","(798, 766)",-45.0,1,"[143, 143, 143]"
"(397, 0)","(397, 0)",0.0,1,"[191, 191, 191]"
"(0, 480)","(0, 480)",0.0,1,"[191, 191, 191]"
"(486, 799)","(486, 799)",0.0,1,"[191, 191, 191]"
"(0, 157)","(0, 157)",0.0,1,"[191, 191, 191]"
"(400, 799)","(400, 799)",0.0,1,"[64, 64, 64]"
"(606, 799)","(606, 799)",0.0,1,"[191, 191, 191]"
"(799, 406)","(799, 406)",0.0,1,"[191, 191, 191]"
"(726, 799)","(726, 799)",0.0,1,"[191, 191, 191]"
"(799, 680)","(799, 680)",0.0,1,"[64, 64, 64]"
"(0, 677)","(0, 677)",0.0,1,"[191, 191, 191]"
"(323, 0)","(323, 0)",0.0,1,"[64, 64, 64]"
"(440, 799)","(440, 799)",0.0,1,"[64, 64, 64]"
"(0, 357)","(0, 357)",0.0,1,"[191, 191, 191]"
"(799, 526)","(799, 526)",0.0,1,"[191, 191, 191]"
"(799, 46)","(799, 46)",0.0,1,"[191, 191, 191]"
"(683, 0)","(683, 0)",0.0,1,"[64, 64, 64]"
"(403, 0)","(403, 0)",0.0,1,"[64, 64, 64]"
"(0, 37)","(0, 37)",0.0,1,"[191, 191, 191]"
"(77, 0)","(77, 0)",0.0,1,"[191, 191, 191]"
"(637, 0)","(637, 0)",0.0,1,"[191, 191, 191]"
"(799, 286)","(799, 286)",0.0,1,"[191, 191, 191]"
"(46, 799)","(46, 799)",0.0,1,"[191, 191, 191]"
"(799, 440)","(799, 440)",0.0,1,"[64, 64, 64]"
"(560, 799)","(560, 799)",0.0,1,"[64, 64, 64]"
"(799, 120)","(799, 120)",0.0,1,"[64, 64, 64]"
"(0, 240)","(0, 240)",0.0,1,"[191, 191, 191]"
"(1, 0)","(1, 0)",0.0,1,"[64, 64, 64]"
"(0, 437)","(0, 437)",0.0,1,"[191, 191, 191]"
"(0, 120)","(0, 120)",0.0,1,"[191, 191, 191]"
"(799, 720)","(799, 720)",0.0,1,"[64, 64, 64]"
"(799, 326)","(799, 326)",0.0,1,"[191, 191, 191]"
"(686, 799)","(686, 799)",0.0,1,"[191, 191, 191]"
"(160, 799)","(160, 799)",0.0,1,"[64, 64, 64]"
"(83, 0)","(83, 0)",0.0,1,"[64, 64, 64]"
"(517, 0)","(517, 0)",0.0,1,"[191, 191, 191]"
"(799, 206)","(799, 206)",0.0,1,"[191, 191, 191]"
"(0, 197)","(0, 197)",0.0,1,"[191, 191, 191]"
"(677, 0)","(677, 0)",0.0,1,"[191, 191, 191]"
"(646, 799)","(646, 799)",0.0,1,"[191, 191, 191]"
"(799, 760)","(799, 760)",0.0,1,"[64, 64, 64]"
"(326, 799)","(326, 799)",0.0,1,"[191, 191, 191]"
"(799, 480)","(799, 480)",0.0,1,"[64, 64, 64]"
"(523, 0)","(523, 0)",0.0,1,"[64, 64, 64]"
"(0, 597)","(0, 597)",0.0,1,"[191, 191, 191]"
"(360, 799)","(360, 799)",0.0,1,"[64, 64, 64]"
"(799, 646)","(799, 646)",0.0,1,"[191, 191, 191]"
"(163, 0)","(163, 0)",0.0,1,"[64, 64, 64]"
"(286, 799)","(286, 799)",0.0,1,"[191, 191, 191]"
"(283, 0)","(283, 0)",0.0,1,"[64, 64, 64]"
"(799, 726)","(799, 726)",0.0,1,"[191, 191, 191]"
"(0, 320)","(0, 320)",0.0,1,"[191, 191, 191]"
"(0, 360)","(0, 360)",0.0,1,"[191, 191, 191]"
"(240, 799)","(240, 799)",0.0,1,"[64, 64, 64]"
"(0, 40)","(0, 40)",0.0,1,"[191, 191, 191]"
"(117, 0)","(117, 0)",0.0,1,"[191, 191, 191]"
"(40, 799)","(40, 799)",0.0,1,"[64, 64, 64]"
"(799, 280)","(799, 280)",0.0,1,"[64, 64, 64]"
"(799, 200)","(799, 200)",0.0,1,"[64, 64, 64]"
"(799, 86)","(799, 86)",0.0,1,"[191, 191, 191]"
"(799, 240)","(799, 240)",0.0,1,"[64, 64, 64]"
"(799, 560)","(799, 560)",0.0,1,"[64, 64, 64]"
"(0, 560)","(0, 560)",0.0,1,"[191, 191, 191]"
"(799, 566)","(799, 566)",0.0,1,"[191, 191, 191]"
"(120, 799)","(120, 799)",0.0,1,"[64, 64, 64]"
"(0, 1)","(0, 1)",0.0,1,"[64, 64, 64]"
"(1, 361)","(1, 360)",-90.0,1,"[207, 207, 207]"
"(0, 77)","(0, 77)",0.0,1,"[191, 191, 191]"
"(277, 0)","(277, 0)",0.0,1,"[191, 191, 191]"
"(643, 0)","(643, 0)",0.0,1,"[64, 64, 64]"
"(86, 799)","(86, 799)",0.0,1,"[191, 191, 191]"
"(0, 477)","(0, 477)",0.0,1,"[191, 191, 191]"
"(37, 0)","(37, 0)",0.0,1,"[191, 191, 191]"
"(799, 40)","(799, 40)",0.0,1,"[64, 64, 64]"
"(760, 799)","(760, 799)",0.0,1,"[64, 64, 64]"
"(0, 757)","(0, 757)",0.0,1,"[191, 191, 191]"
"(197, 0)","(197, 0)",0.0,1,"[191, 191, 191]"
"(799, 640)","(799, 640)",0.0,1,"[64, 64, 64]"
"(43, 0)","(43, 0)",0.0,1,"[64, 64, 64]"
"(799, 80)","(799, 80)",0.0,1,"[64, 64, 64]"
"(0, 400)","(0, 400)",0.0,1,"[191, 191, 191]"
"(0, 717)","(0, 717)",0.0,1,"[191, 191, 191]"
"(80, 799)","(80, 799)",0.0,1,"[64, 64, 64]"
"(799, 686)","(799, 686)",0.0,1,"[191, 191, 191]"
"(0, 200)","(0, 200)",0.0,1,"[191, 191, 191]"
"(366, 799)","(366, 799)",0.0,1,"[191, 191, 191]"
"(280, 799)","(280, 799)",0.0,1,"[64, 64, 64]"
"(203, 0)","(203, 0)",0.0,1,"[64, 64, 64]"
"(597, 0)","(597, 0)",0.0,1,"[191, 191, 191]"
"(720, 799)","(720, 799)",0.0,1,"[64, 64, 64]"
"(166, 799)","(166, 799)",0.0,1,"[191, 191, 191]"
"(1, 241)","(1, 240)",-90.0,1,"[207, 207, 207]"
"(357, 0)","(357, 0)",0.0,1,"[191, 191, 191]"
"(320, 799)","(320, 799)",0.0,1,"[64, 64, 64]"
"(757, 0)","(757, 0)",0.0,1,"[191, 191, 191]"
